t1	t2	t3	t4	t5	m	n	p	iterations	evaluations	value		time								
final	results	rosenbrock	(new)	run:	5	1000	1.000001	1000	3011	51666.82395	-1	7.324473343	1.866665006	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.000001	1	21	1487804.542	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.000001	1000	69023	51665.7078	-1	7.324441021	33.12999725	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.000001	1	21	1487804.542	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1.000001	1000	705600	51665.70883	-1	7.324391043	324.5032959	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.000001	1	21	1487804.542	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1.0000001	1000	4426	51666.50808	-1	7.324544103	2.466665983	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.0000001	1	21	1487793.974	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.0000001	1000	532713	51665.50017	-1	7.324538444	239.4399719	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.0000001	1	21	1487793.974	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1.0000001	1000	628246	51665.49021	-1	7.324538058	282.9299622	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.0000001	1	21	1487793.974	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1.00000001	1000	79486	51666.43346	-1	7.324554458	36.11666107	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.00000001	1	21	1487792.917	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.00000001	1000	497438	51665.4838	-1	7.324553913	224.583313	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.00000001	1	21	1487792.917	101	3.33E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	20	1000	1.00000001	1000	628373	51665.48609	-1	7.324553572	283.0199585	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	20	1000	1.00000001	1	21	1487792.917	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	5	1000	1.000000001	1000	580426	51666.50308	-1	7.324555207	264.2633057	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	5	1000	1.000000001	1	21	1487792.812	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
final	results	rosenbrock	(new)	run:	10	1000	1.000000001	1000	377210	51665.48162	-1	7.324555203	172.4366455	STOP:	TOTAL	NUMBER	OF	ITERATIONS	REACHED	1000
final	results	rosenbrock	(Nocedal)	run:	10	1000	1.000000001	1	21	1487792.812	101	6.67E-03	ABNORMAL_TERMINATION_IN_LNSRCH							
