5	2	0.9	1	21	4122.3357997106	109.7098445902	164	458	81
10	2	0.9	1	21	4122.3357997106	109.7098445902	164	458	81
20	2	0.9	1	21	4122.3357997106	109.7098445902	164	458	81
5	4	0.9	1	21	5483.0234651287	155.467289566	10000	20010	203.6717690175
10	4	0.9	1	21	5483.0234651287	155.467289566	10000	20007	201.3635208544
20	4	0.9	1	21	5483.0234651287	155.467289566	10000	20007	201.3635208544
5	6	0.9	1	21	6835.0983554851	190.5420439373	10000	20012	264.9727640136
10	6	0.9	1	21	6835.0983554851	190.5420439373	10000	20006	263.4634677358
20	6	0.9	1	21	6835.0983554851	190.5420439373	10000	20006	263.2710714257
5	8	0.9	1	21	8184.9969481857	220.0978593444	10000	588470	326.2699902292
10	8	0.9	1	21	8184.9969481857	220.0978593444	10000	20003	324.2733728009
20	8	0.9	1	21	8184.9969481857	220.0978593444			
5	10	0.9	1	21	9534.3500191727	246.1300813103	10000	588173	387.5671220185
10	10	0.9	1	21	9534.3500191727	246.1300813103	10000	19998	386.9547954789
20	10	0.9	1	21	9534.3500191727	246.1300813103	10000	20002	386.5111464469
5	20	0.9	1	21	16280.2661333593	348.231245032	10000	588234	694.0527666868
10	20	0.9	1	21	16280.2661333593	348.231245032	10000	20005	694.0391973604
20	20	0.9	1	21	16280.2661333593	348.231245032	10000	20003	682.9908544633
5	50	0.9	1	21	36517.8327178452	550.7449500449	10000	588409	1613.5096637579
10	50	0.9	1	21	36517.8327178452	550.7449500449	10000	20006	1613.5043396518
20	50	0.9	1	21	36517.8327178452	550.7449500449	10000	20002	1604.0578060639
5	100	0.9	1	21	70247.1102599127	778.9383801046	10000	588409	3145.9378051899
10	100	0.9	1	21	70247.1102599127	778.9383801046	10000	20005	3145.9332306031
20	100	0.9	1	21	70247.1102599127	778.9383801046	10000	20007	3144.6121183855
5	200	0.9	1	21	137705.665344048	1101.6328789574	10000	588409	6210.7940850592
10	200	0.9	1	21	137705.665344048	1101.6328789574	10000	20010	6210.7940838524
20	200	0.9	1	21	137705.665344048	1101.6328789574	10000	20007	6209.6424888061
5	1000	0.9	1	21	677374.106017129	2463.4112527144	10000	588764	30729.6443168679
10	1000	0.9	1	21	677374.106017129	2463.4112527144	10000	588803	30729.6443166712
20	1000	0.9	1	21	677374.106017129	2463.4112527144	10000	20013	30729.6408804572
